occurrence.genus_name	occurrence.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
Centrosaurus	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Oldman
Centrosaurus	sp.		United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	80.9	80.7	Judith River
Centrosaurus	sp.		United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Judith River
Centrosaurus	sp.		United States	Colorado	Cretaceous	Late/Upper Cretaceous		84.9	66.043	
Ceratops	montanus	USNM 2411	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Judith River
Ceratops	sp.		United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Kirtland
Chasmosaurus	belli	AMNH 5401	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Oldman
Chasmosaurus	belli	NMC 491	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Chasmosaurus	belli	NMC 491	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Chasmosaurus	belli	ROM 5436	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Chasmosaurus	belli	NMC 491	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Chasmosaurus	belli	NMC 491	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Chasmosaurus	belli	NMC 491	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Chasmosaurus	belli	NMC 491	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Chasmosaurus	belli	NMC 1254	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	
Chasmosaurus	belli	NMC 491	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Chasmosaurus	russelli	NMC 8800	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Chasmosaurus	russelli	NMC 8800	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Chasmosaurus	russelli	NMC 8800	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Chasmosaurus	russelli	NMC 8800	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Oldman
Chasmosaurus	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Chasmosaurus	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Chasmosaurus	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Chasmosaurus	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	
Chasmosaurus	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Chasmosaurus	sp.		United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Judith River
Coahuilaceratops	magnacuerna	CPC 276	Mexico	Coahuila	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Cerro del Pueblo
Coronosaurus	brinkmani		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Oldman
Coronosaurus	brinkmani	RTMP 2002.68.1	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Oldman
Crittendenceratops	krzyzanowskii	NMMNH P-34906	United States	Arizona	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Fort Crittenden
Crittendenceratops	krzyzanowskii	NMMNH P-34906	United States	Arizona	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Fort Crittenden
Diabloceratops	eatoni	UMNH VP 16699	United States	Utah	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Wahweap
Diabloceratops	sp.		United States	Utah	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Wahweap
Einiosaurus	procurvicornis	MOR 456	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	73.9	72.5	Two Medicine
Einiosaurus	procurvicornis	MOR 456	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	72.7	72.5	Two Medicine
Einiosaurus	procurvicornis	MOR 456	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	73.9	73.7	Two Medicine
Eotriceratops	xerinsularis	RTMP 2002.57.5	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Horseshoe Canyon
Judiceratops	tigris	YPM VPPU 022404	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Judith River
Kosmoceratops	richardsoni	UMNH VP 17000	United States	Utah	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Kaiparowits
Kosmoceratops	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Machairoceratops	cronusi	UMNH VP 20550	United States	Utah	Cretaceous	Late/Upper Cretaceous	Campanian	77	79.9	Wahweap
Medusaceratops	lokii	WDC-DJR-001	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Judith River
Mercuriceratops	gemini	ROM 64222	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Mercuriceratops	gemini	ROM 64222	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Judith River
Monoclonius	crassus		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Oldman
Monoclonius	crassus	AMNH 3998	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Judith River
Monoclonius	recurvicornis	AMNH 3999	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	
Monoclonius	recurvicornis	AMNH 3999	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Judith River
Monoclonius	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Oldman
Monoclonius	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Oldman
Monoclonius	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Oldman
Monoclonius	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Oldman
Monoclonius	sp.		Mexico	Coahuila	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Cerro del Pueblo
Monoclonius	sp.		United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Kirtland
Monoclonius	sp.		United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Fruitland
