collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
39680	PaleoDB	"M. Carrano"	cf.	Urbacodon		sp.						"Russian Federation"	Kemerovo	Cretaceous	"Early/Lower Cretaceous"		130.000	112.600	Ilek
45090	ETE	"M. Carrano"		Byronosaurus		sp.		Dromaeosauridae		indet.		Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
45099	PaleoDB	"M. Carrano"		Troodon		sp.						"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.7	"Hell Creek"
45166	ETE	"M. Carrano"		Sinornithoides		sp.						China	Gansu	Cretaceous	"Early/Lower Cretaceous"	Albian	112.600	105.300	Zhonggou
45238	Fossilworks	"J. Alroy"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
45240	Fossilworks	"J. Alroy"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	Oldman
45261	Fossilworks	"J. Alroy"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
45262	Fossilworks	"J. Alroy"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
45264	Fossilworks	"J. Alroy"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
45671	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.1	76.2	Oldman
45753	ETE	"M. Carrano"	"n. gen."	Troodon	"n. sp."	formosus	"n. gen."	Stenonychosaurus	"n. sp."	inequalis	"NMC 8539"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	
45821	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Oldman
45892	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Oldman
45893	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	81.3	76.2	Oldman
