collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	collection.reference_no	country	state	period	epoch	stage	ma_max	ma_min	formation
53227	ETE	"M. Carrano"		Tarchia	"n. sp."	gigantea		Dyoplosaurus	"n. sp."	giganteus	"PIN 551-29"	24890	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
53229	ETE	"M. Carrano"	"n. gen."	Pinacosaurus	"n. sp."	grangeri	"n. gen."	Syrmosaurus	"n. sp."	viminocaudus	"PIN AS 614"	14386	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
54104	ETE	"M. Carrano"	"n. gen."	Nodocephalosaurus	"n. sp."	kirtlandensis					"SMP VP-900"	14623	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
55256	ETE	"M. Carrano"		Pinacosaurus		grangeri					"AMNH 6523"	14738	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
55258	ETE	"M. Carrano"		Tarchia		sp.		Ankylosauria		indet.		42291	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Nemegt
55334	ETE	"M. Carrano"		Cedarpelta		bilbeyhallorum					"CEUM 12360"	16850	"United States"	Utah	Cretaceous	"Early/Lower Cretaceous"		122.460	109.000	"Cedar Mountain"
55389	ETE	"M. Carrano"	"n. gen."	Tsagantegia	"n. sp."	longicranialis					"GIN AN MNP No. 700/17"	36629	Mongolia	Dornogov	Cretaceous	"Late/Upper Cretaceous"		99.700	84.900	Baynshire
55683	ETE	"M. Carrano"	"n. gen."	Liaoningosaurus	"n. sp."	paradoxus					"IVPP V.12560"	14922	China	Liaoning	Cretaceous	"Early/Lower Cretaceous"		130.000	122.460	Yixian
58759	ETE	"M. Carrano"		Platypelta		coombsi		Ankylosauridae		indet.	"AMNH 5337"	12319	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
58957	ETE	"M. Carrano"		Platypelta		coombsi	informal	Ankylosauria		indet.	"AMNH 5337"	33225	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59004	ETE	"M. Carrano"		Euoplocephalus		tutus					"NMC 210"	12046	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59015	ETE	"M. Carrano"	"n. gen."	Scolosaurus	"n. sp."	cutleri					"BMNH R.5161"	62853	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59023	ETE	"M. Carrano"		Scolosaurus		cutleri	informal	Ankylosauria		indet.	"BMNH R.5161"	33225	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
59372	ETE	"M. Carrano"		Pinacosaurus		sp.						42291	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
60758	ETE	"M. Carrano"	"n. gen."	Minmi	"n. sp."	paravertebrata		Ankylosauria		indet.	"QM F10329"	46357	Australia	Queensland	Cretaceous	"Early/Lower Cretaceous"		140.200	125.450	Bungil
60815	ETE	"M. Carrano"	"n. gen."	Cedarpelta	"n. sp."	bilbeyhallorum					"CEUM 12360"	2087	"United States"	Utah	Cretaceous	"Early/Lower Cretaceous"		125.450	99.700	"Cedar Mountain"
61625	ETE	"M. Carrano"		Platypelta		coombsi		Euoplocephalus		sp.	"AMNH 5337"	17480	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
61627	ETE	"M. Carrano"		Euoplocephalus		sp.						17500	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
61628	ETE	"M. Carrano"		Euoplocephalus		sp.						17500	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
61631	ETE	"M. Carrano"		Euoplocephalus		sp.						17500	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"St. Mary River"
62323	ETE	"M. Carrano"		Pinacosaurus	"n. sp."	grangeri		Pinacosaurus	"n. sp."	ninghsiensis		18019	China	Ningxia	Cretaceous	"Late/Upper Cretaceous"		99.700	66.043	
62535	ETE	"M. Carrano"	?	Ankylosaurus		sp.		Ankylosauridae		indet.		18036	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
62541	ETE	"M. Carrano"		Oohkotokia		horneri		Euoplocephalus		sp.	"MOR 433"	18053	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Two Medicine"
64630	ETE	"M. Carrano"		Anodontosaurus		lambei		Euoplocephalus		sp.	"NMC 8530"	63399	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
65334	ETE	"M. Carrano"		Pinacosaurus		grangeri					"AMNH 6523"	26796	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Baruungoyot
65338	ETE	"M. Carrano"		Pinacosaurus		grangeri					"AMNH 6523"	26796	Mongolia	Dornogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Baruungoyot
