collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
14540	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.2	70.0	Ferris
14541	Fossilworks	"J. Alroy"		Saurornitholestes		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.2	70.0	Ferris
14542	Fossilworks	"J. Alroy"		Saurornitholestes		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.2	70.0	Ferris
14543	Fossilworks	"J. Alroy"		Dromaeosaurus		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.2	70.0	Ferris
14543	Fossilworks	"J. Alroy"		Saurornitholestes		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.2	70.0	Ferris
14543	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.2	70.0	Ferris
14544	Fossilworks	"J. Alroy"		Saurornitholestes		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.2	70.0	Ferris
14546	Fossilworks	"J. Alroy"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	69.4	67.5	"Hell Creek"
14548	Fossilworks	"J. Alroy"		Richardoestesia	cf.	gilmorei					"NMC 343"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14549	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	67.7	67.5	"Hell Creek"
14549	Fossilworks	"J. Alroy"		Richardoestesia	cf.	isosceles					"LSUMGS 489:6238"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	67.7	67.5	"Hell Creek"
14549	Fossilworks	"J. Alroy"		Richardoestesia	cf.	gilmorei					"NMC 343"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	67.7	67.5	"Hell Creek"
14560	Fossilworks	"J. Alroy"		Richardoestesia	cf.	gilmorei					"NMC 343"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14566	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14568	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14574	Fossilworks	"J. Alroy"		Richardoestesia	cf.	gilmorei					"NMC 343"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14575	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14577	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14580	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14582	Fossilworks	"J. Alroy"		Richardoestesia	cf.	gilmorei					"NMC 343"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14585	Fossilworks	"J. Alroy"	cf.	Zapsalis		sp.		Dromaeosauridae		indet.		"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14585	Fossilworks	"J. Alroy"		Richardoestesia	cf.	isosceles					"LSUMGS 489:6238"	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14596	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
14605	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14610	Fossilworks	"J. Alroy"		Saurornitholestes		sp.						"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.7	"Hell Creek"
14610	Fossilworks	"J. Alroy"		Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	"North Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	66.9	66.7	"Hell Creek"
14616	Fossilworks	"J. Alroy"		Richardoestesia	cf.	isosceles					"LSUMGS 489:6238"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14617	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14623	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14624	Fossilworks	"J. Alroy"		Richardoestesia	cf.	isosceles					"LSUMGS 489:6238"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14629	Fossilworks	"J. Alroy"	cf.	Zapsalis		sp.	cf.	Paronychodon		lacustris		"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14639	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14647	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14650	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
14653	Fossilworks	"J. Alroy"		Richardoestesia		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	68.6	66.3	"Hell Creek"
22657	ETE	"A. Behrensmeyer"		Velociraptor		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	82.1	81.9	"Dinosaur Park"
22659	ETE	"A. Behrensmeyer"		Dromaeosaurus		albertensis					"AMNH 5356"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
22659	ETE	"A. Behrensmeyer"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
22685	ETE	"A. Behrensmeyer"		Velociraptor		mongoliensis					"AMNH 6515"	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
22689	ETE	"A. Behrensmeyer"		Richardoestesia		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"		83.8	83.6	"Two Medicine"
22689	ETE	"A. Behrensmeyer"	cf.	Bambiraptor		feinbergi					"FIP 001"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"		83.8	83.6	"Two Medicine"
22689	ETE	"A. Behrensmeyer"		Saurornitholestes		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"		83.8	83.6	"Two Medicine"
22695	ETE	"A. Behrensmeyer"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
22695	ETE	"A. Behrensmeyer"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
22695	ETE	"A. Behrensmeyer"		Dromaeosaurus		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
22696	ETE	"A. Behrensmeyer"		Saurornitholestes		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
22696	ETE	"A. Behrensmeyer"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
22697	ETE	"A. Behrensmeyer"		Richardoestesia		isosceles		Richardoestesia		sp.	"LSUMGS 489:6238"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.5	"Dinosaur Park"
22697	ETE	"A. Behrensmeyer"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.5	"Dinosaur Park"
22697	ETE	"A. Behrensmeyer"		Richardoestesia		gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.5	"Dinosaur Park"
22697	ETE	"A. Behrensmeyer"		Zapsalis		abradens					"AMNH 3953"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.5	"Dinosaur Park"
22697	ETE	"A. Behrensmeyer"		Hesperonychus		elizabethae					"UALVP 48778"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.5	"Dinosaur Park"
22697	ETE	"A. Behrensmeyer"		Zapsalis		abradens		Paronychodon		sp.	"AMNH 3953"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.5	"Dinosaur Park"
22697	ETE	"A. Behrensmeyer"		Dromaeosaurus		albertensis		Dromaeosaurus		sp.	"AMNH 5356"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.5	"Dinosaur Park"
22697	ETE	"A. Behrensmeyer"		Zapsalis		abradens	cf.	Dromaeosauridae		indet.	"AMNH 3953"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.5	"Dinosaur Park"
