collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	collection.reference_no	country	state	period	epoch	stage	ma_max	ma_min	formation
46317	ETE	"M. Carrano"		Corythosaurus	"n. sp."	casuarius		Corythosaurus	"n. sp."	bicristatus	"ROM 868"	12345	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
46318	ETE	"M. Carrano"		Lambeosaurus	"n. sp."	clavinitialis		Corythosaurus	"n. sp."	frontalis	"ROM 869"	12345	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
46319	ETE	"M. Carrano"		Corythosaurus	"n. sp."	casuarius		Corythosaurus	"n. sp."	brevicristatus	"ROM 870"	12345	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
46320	ETE	"M. Carrano"		Edmontosaurus		annectens		Thespesius	cf.	edmontoni	"NMC 8399"	12345	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	
46331	ETE	"M. Carrano"		Gryposaurus	"n. sp."	notabilis		Kritosaurus	"n. sp."	incurvimanus	"ROM 764"	14121	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
46333	ETE	"M. Carrano"	"n. gen."	Parasaurolophus	"n. sp."	walkeri					"ROM 768"	12350	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
46358	ETE	"M. Carrano"	"n. gen."	Lambeosaurus	"n. sp."	lambei	"n. gen."	Tetragonosaurus	"n. sp."	praeceps	"ROM 758"	12354	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
46359	ETE	"M. Carrano"		Corythosaurus	"n. sp."	casuarius		Tetragonosaurus	"n. sp."	erectofrons	"ROM 759"	12354	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
46984	ETE	"M. Carrano"		Kritosaurus		navajovius					"AMNH 5799"	12486	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Fruitland
47029	ETE	"M. Carrano"	"n. gen."	Amurosaurus	"n. sp."	riabinini		Hadrosauridae		indet.	"AEHM 1/12"	14383	"Russian Federation"	Amur	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Udurchukan
47029	ETE	"M. Carrano"	"n. gen."	Kerberosaurus	"n. sp."	manakini					"AEHM 1/319"	14383	"Russian Federation"	Amur	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Udurchukan
47034	ETE	"M. Carrano"		Edmontosaurus		sp.						23425	"United States"	"South Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
47101	ETE	"M. Carrano"		Gryposaurus		latidens					"AMNH 5465"	10628	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"		85.800	70.600	"Two Medicine"
47193	PaleoDB	"J. Head"		Parasaurolophus		sp.						12618	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
47201	ETE	"J. Head"		Parasaurolophus		tubicen					"PMU.R 1250"	14762	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.4	78.2	Kirtland
47818	PaleoDB	"J. Head"	cf.	Kritosaurus		sp.						12807	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
47818	PaleoDB	"J. Head"		Kritosaurus		navajovius					"AMNH 5799"	12807	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
47820	PaleoDB	"J. Head"		Kritosaurus		navajovius					"AMNH 5799"	50161	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
47820	PaleoDB	"J. Head"	cf.	Kritosaurus		sp.						50161	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
47821	PaleoDB	"J. Head"	cf.	Parasaurolophus		sp.						12808	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
48549	PaleoDB	"M. Carrano"		Trachodon		sp.						12319	"United States"	Utah	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
48570	ETE	"M. Carrano"	""""	Hadrosaurus		minor					"YPM 1600"	15621	"United States"	"New Jersey"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"New Egypt"
48570	ETE	"M. Carrano"		Hadrosaurus		minor		Hadrosaurus		sp.	"YPM 1600"	15621	"United States"	"New Jersey"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"New Egypt"
48725	ETE	"M. Carrano"	"n. gen."	Hadrosaurus	"n. sp."	foulkii					"ANSP 10005"	13004	"United States"	"New Jersey"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Woodbury
48829	ETE	"M. Carrano"	"n. gen."	Lapampasaurus	"n. sp."	cholinoi	?	Hadrosaurinae		indet.	MPHN-Pv-01	13012	Argentina	"La Pampa"	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Allen
48834	ETE	"M. Carrano"	?	Kritosaurus		sp.	cf.	Kritosaurus		sp.		24167	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Santonian	85.800	84.900	"Milk River"
