it	posterior	prior	PP_lik	BD_lik	q_0	q_1	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertosaurus_sarcophagus_TS	Alioramus_altai_TS	Alioramus_remotus_TS	Bistahieversor_sealeyi_TS	Daspletosaurus_horneri_TS	Daspletosaurus_novsp_TS	Daspletosaurus_torosus_TS	Dynamoterror__dynastes_TS	Gorgosaurus_libratus_TS	Lythronax_argestes_TS	Nanuqsaurus_hoglundi_TS	Qianzhousaurus_sinensis_TS	Tarbosaurus_bataar_TS	Teratophoneus__curriei_TS	Thanatotheristes_degrootorum_TS	Tyrannosaurus_rex_TS	Zhuchengtyrannus_magnus_TS	Albertosaurus_sarcophagus_TE	Alioramus_altai_TE	Alioramus_remotus_TE	Bistahieversor_sealeyi_TE	Daspletosaurus_horneri_TE	Daspletosaurus_novsp_TE	Daspletosaurus_torosus_TE	Dynamoterror__dynastes_TE	Gorgosaurus_libratus_TE	Lythronax_argestes_TE	Nanuqsaurus_hoglundi_TE	Qianzhousaurus_sinensis_TE	Tarbosaurus_bataar_TE	Teratophoneus__curriei_TE	Thanatotheristes_degrootorum_TE	Tyrannosaurus_rex_TE	Zhuchengtyrannus_magnus_TE
55000	-444.92726432373865	-43.47117668534201	-348.237167707308	-53.218919931088635	7.096005718924649	12.451399227422941	0.5650883358892643	3	2	2.006748606815699	80.47325320218937	65.98017630964512	27.521934253532322	74.0267812781705	72.49235769713792	68.37652876518663	74.73918013754974	75.1666422338365	76.80589295789922	77.3197524262763	78.05298343960827	76.43753247102678	80.47325320218937	68.07247793749117	70.67167336458753	72.08839004833229	75.67196398471458	80.19288121888547	68.10223012672915	73.46242357278408	67.56104002602397	71.86973705228108	68.34923973621478	73.10059987801559	74.54151799833315	75.76686531178005	75.02555433439305	78.0360555924883	74.79309675351904	80.32046482191176	67.91965141690908	66.04982933716171	68.05635465063244	75.49676082641135	79.5612033359758	65.98017630964512	72.20286322717692
60000	-426.5024971943576	-34.69922645883287	-346.5004576857233	-45.30281304980144	8.159439368657608	10.863703491967044	0.5893007822518838	2	1	1.2890804812004588	80.44897401822337	64.37800684622503	27.317126720418983	73.94974223911005	72.02619540399814	68.3844300956171	74.28057466557436	75.19947819901775	76.8889176901813	76.80146126362364	78.08638734118864	76.42312442555681	80.44897401822337	68.26443238457695	70.30365670481895	72.18105693359148	75.57151872078624	80.2473220098306	68.00454546154207	73.70953028054569	68.05601382578162	71.85700730011732	68.19178407585584	73.23055478798211	74.53531818903058	75.46115170088996	75.16800918827855	78.02279493623031	74.80870845321718	80.38348595979856	68.02307772487838	64.37800684622503	67.99743425146855	75.54704262054554	79.54894658120024	65.93309030793732	72.31179436792708
65000	-434.77534407839505	-37.04446270095245	-349.95934012942615	-47.77154124801643	7.153896047197248	11.654963097352303	0.5221144769098507	2	2	2.4200705593773986	80.44597641043843	65.56211098402784	28.168197986026456	74.1732231965313	71.94669262144726	68.37844062279338	74.12558646475951	75.1222917844863	76.91163926995625	76.95063171358683	78.16211283402471	76.43197086076015	80.44597641043843	68.26598192162727	70.82006314850395	72.1330544011342	76.09513108691253	80.16035257729378	68.02167297764471	73.40379368349784	67.84630545643991	71.94290007435441	68.24570384348185	73.22192908887553	74.56228476595487	75.10178849072746	75.14186810378449	77.88496616261025	74.70511520162617	80.40035036726195	68.06001785190841	65.56211098402784	68.0370240515608	75.0454486241269	79.28672139014988	65.96182824065872	72.37405489182248
70000	-440.30329591434565	-41.71297882501611	-349.73304451081856	-48.85727257851096	7.777357008120911	11.891721178977432	0.5183107110796223	4	1	1.5547092275404604	80.53632495411973	65.53766389751617	27.75611858971901	73.97515143538817	71.96873049304202	68.37792255713337	74.34628877022008	75.51709689430768	76.85254064263948	76.82082785155127	78.28452254115311	76.45012230963587	80.53632495411973	68.07716137106716	70.39459115883774	72.11754364954746	75.65276522747827	80.0720126660872	68.00400121713966	73.4089173041574	67.20931720844915	71.93830933156062	68.2890667876195	73.02592108024096	74.36539805507363	75.46920340904703	75.1931507491967	77.57276947055564	74.75976345494963	80.44029122284768	68.0550797545833	65.53766389751617	68.03310781445276	75.50983761347375	79.6072785429045	65.99853199003485	72.09571207128081
75000	-431.7193481163171	-28.383424861194648	-351.916175773367	-51.41974748175545	6.4905824147671405	11.085183690587362	0.5262464895011109	1	1	0.853676300288921	80.4484877415323	65.6974973685053	27.974378525635657	74.16498529481933	71.96290829693436	68.35616384229525	74.08651809623568	75.30627024881915	77.05528935947882	76.84080135718034	78.0940910203745	76.48842162019564	80.4484877415323	68.1025375674673	70.21603520137751	72.09831229673304	75.69883670697779	80.34747850475995	68.02347955039922	74.15623118153992	67.97360591924321	71.84930983714592	68.3465287671988	72.36533876788894	74.5717506529923	75.67509460154709	75.14592017730156	78.02123915940416	74.76595216070862	80.30136259802642	67.7187888171806	65.6974973685053	68.03077596926606	75.44455696823881	79.55011165188647	66.0058136102915	72.00882233465866
80000	-436.92708015474733	-33.98118793831992	-355.1312790813867	-47.8146131350407	7.253175096189231	12.221005846669026	0.7423670920964981	2	1	1.6222706952213168	80.45557514752909	66.00193124683786	27.10253175384021	74.15572090679811	71.9920411097297	68.37444307688361	74.08511913606752	75.13593847763514	76.98566976965334	77.16346730123755	78.13426207315975	76.44512742284842	80.45557514752909	68.06788667197185	70.23687545954608	72.18437732888408	75.74606819700243	80.15253716679247	68.05360505701896	73.52016889178275	68.01800363145648	71.83415945506778	68.242052051553	72.48504567544802	74.54552669003745	75.2720952557176	74.72423534744829	77.72691599424655	74.76441539725879	80.32399459327645	68.0137932783969	66.69814067658936	68.00355794737908	75.45246927902612	79.5522442028802	66.00193124683786	72.12777071808068
85000	-421.795060985763	-47.88235563103659	-331.1186340795252	-42.79407127520119	9.559630627708227	11.212341709318594	0.5937207350281093	3	2	3.6407733220458227	80.45418037546673	65.72941079247018	25.690781374904446	74.0892903692883	71.96094844882982	68.3581704210606	74.20502673949883	75.15313982541934	76.79139864252109	76.74918337364824	78.04600992233723	76.43696350373186	80.45418037546673	68.12372758199442	70.8379399939863	72.08470904515285	75.58672255782994	80.08522128872929	68.00702778763886	73.4785749251078	67.90203712017957	71.93727019020896	68.28762788160675	73.22825636615188	74.56134145333715	75.67288963033712	75.12494334968753	78.03314687322296	74.80110586467416	80.44160410974507	67.97178847173706	65.72941079247018	68.05469383586718	75.44508473711319	79.37216249217333	65.9998778523448	72.19421240648018
90000	-432.83921289363605	-33.8469802107486	-348.2230505401981	-50.769182142689374	7.469294930911859	11.016124689797666	0.5537434670981503	2	1	1.7584486128400727	80.46292851065331	65.26944429669133	29.08421161329521	73.96639885089081	71.95641904536213	68.3743590554699	74.1728323530882	75.55655070878586	76.73165729024659	77.09058438839257	78.12376366686073	76.43329042562489	80.46292851065331	68.07897066454946	71.35640679635955	72.13134061778631	75.77335226613084	80.07965386051796	68.01303943675246	73.45497419815533	68.01881968884165	71.9285696699535	68.34477894619995	71.6531815956183	74.4494969973606	75.81761573203813	75.06281814108142	77.94090408863715	74.79858206074954	80.05919833507328	68.04677593896237	65.26944429669133	68.04101989153058	75.5062002602478	79.62979201874813	65.9630772253643	72.14203563523364
95000	-446.12123386331115	-43.18495793428817	-349.4326546576867	-53.50362127133627	6.736388539641945	12.063578441615656	0.5633636113813564	3	2	4.103692700288151	81.03751749559872	65.91610610324092	28.63465693991934	74.07501166585622	71.95186967745401	68.35656820836145	74.53790438866599	75.12687923071826	76.81469055807375	76.86820482378594	78.23311489028156	76.4647965095968	80.54668770312769	68.0734754917797	70.35348542748628	72.09957609693033	75.74157861602896	81.03751749559872	68.00289310641718	73.81217324290198	67.92507894739296	71.86468752627073	68.34701329005193	73.23609748652936	74.34609539828392	75.68585155870754	75.0438906455841	77.95442633196711	74.74321306544324	80.00241713280221	68.04381835526657	65.91610610324092	68.034921424414	75.48699411346126	78.57985935307266	65.98169017469355	72.26960928596341
100000	-433.25437761879743	-41.901915810062185	-346.993417381406	-44.35904442732925	10.809484837617552	11.147139306592688	0.5338537429151403	2	2	1.2159930151148182	80.45282009369727	65.98476498820705	25.490701395403505	73.94998478693299	71.94882760388082	68.40724132018158	74.21079480621353	75.13460050655277	76.87915526239873	76.96660025113562	78.0593955471314	76.45796772518952	80.45282009369727	68.14655008972757	70.02849494598786	72.26414023440907	75.60575826814741	80.07795948406758	68.01814260736357	73.65901472192029	67.99332178752348	71.86102757785959	68.13951218799401	73.22958822715819	74.50124841277496	75.78299495669985	75.04243117312478	77.98688365573054	74.81047889680077	80.40557316964826	68.01037529407053	66.49210709327015	68.02162762541093	75.55803047835228	78.7385182386457	65.98476498820705	72.21826309626299
