accepted_name	status	max_ma	min_ma
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
Chasmosaurinae	extinct	70.6	66
