Species	Status	MinT	MaxT
Richardoestesia_isosceles	extinct	76.9	80.5
Richardoestesia_isosceles	extinct	76.9	80.5
Richardoestesia_isosceles	extinct	76.9	80.5
Richardoestesia_isosceles	extinct	76.9	80.5
Richardoestesia_isosceles	extinct	76.9	80.5
Richardoestesia_isosceles	extinct	76.9	80.5
Richardoestesia_isosceles	extinct	84	89.8
Richardoestesia_isosceles	extinct	84	89.8
Richardoestesia_isosceles	extinct	84	89.8
Saurornitholestes_langstoni	extinct	74.9	79
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	75.8	76.9
Saurornitholestes_langstoni	extinct	74.9	83.5
Saurornitholestes_langstoni	extinct	74.9	83.5
Saurornitholestes_langstoni	extinct	74.9	83.5
Saurornitholestes_langstoni	extinct	74.9	83.5
Saurornitholestes_langstoni	extinct	74.9	83.5
Saurornitholestes_langstoni	extinct	74.9	83.5
Saurornitholestes_langstoni	extinct	74.9	83.5
Saurornitholestes_langstoni	extinct	74.9	83.5
