it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertosaurus_TS	Alioramus_TS	Daspletosaurus_TS	Gorgosaurus_TS	Lythronax_TS	Nanotyrannus_TS	Nanuqsaurus_TS	Ornithomimus_TS	Tarbosaurus_TS	Teratophoneus_TS	Tyrannosauripus_TS	Tyrannosaurus_TS	Yezosaurus_TS	Zhuchengtyrannus_TS	Albertosaurus_TE	Alioramus_TE	Daspletosaurus_TE	Gorgosaurus_TE	Lythronax_TE	Nanotyrannus_TE	Nanuqsaurus_TE	Ornithomimus_TE	Tarbosaurus_TE	Teratophoneus_TE	Tyrannosauripus_TE	Tyrannosaurus_TE	Yezosaurus_TE	Zhuchengtyrannus_TE
2745000	-650.3022821173947	-23.912281659705535	-562.0926579711254	-64.29734248656382	1.4709584327134537	1.2453782049494568	3.141117467734149	0.8734643179957359	2	2	2.1596296051921025	85.27637978025673	64.72295921053461	123.53968688231603	84.74945189260283	77.51203990888183	84.55333446257535	82.83656537333388	80.44022058126303	76.76858500823616	69.29110198954675	83.33838367891381	82.87001757510902	81.57324486027088	67.39096641859194	82.03795979040605	85.27637978025673	71.56852789999867	66.42403012037799	64.72295921053461	66.44780767641332	66.47513180752942	80.40625707636791	65.63577794219746	68.97113073921098	81.98772495103499	66.09368873053221	71.56591502222784	66.1896591518419	65.96576372970473	85.18836123316832	70.59288494652922
2750000	-642.576568024004	-26.373348914304103	-549.3149464071263	-66.88827270257366	3.4236083976580782	1.2186197752413828	3.5234136829101574	0.9760281752283395	2	2	1.1920912348621844	85.26344452386036	65.99838585630178	106.34360860787274	84.64549272697943	75.02052007439497	84.15828844556869	83.10868970411683	80.7128726127826	74.08272399152261	69.63975890484237	82.14146867489835	82.26362040267969	77.1004270877897	67.1958026242996	82.17348063533724	85.26344452386036	71.11505334843321	66.92656803050721	67.84234530817528	66.21753469652664	66.2868319585255	80.01757314329366	66.0163225087793	68.95261276410184	80.76738673938843	66.2118785867459	74.03825954690616	67.10325503831763	65.99838585630178	85.19393830320969	70.70514266885388
2755000	-663.4762939259112	-27.93692444985163	-575.2808274572643	-60.25854201879531	1.3829089000134833	1.0392706614218192	3.981436848315565	1.157533668529537	2	2	0.7297862959127733	86.27351372180145	65.8616555871352	124.02921620051542	84.62056158550078	71.15580577500023	84.36126887067233	85.45297019356448	81.438129016051	82.48577951111663	69.99344443449694	82.13717114220877	83.99158676255817	79.77543595141603	67.72140849000344	83.35636146764566	86.27351372180145	71.1604072744227	66.5496331797638	66.5552952686529	66.57588289255787	66.35538669033508	80.1126844625718	66.40868494761949	68.78265921859564	82.05047964279952	66.19481003574681	74.07776803532836	66.45962693840133	65.8616555871352	83.1573573692257	70.75270372720966
2760000	-652.9992958702825	-24.337967051534466	-564.3400793772413	-64.32124944150667	0.5284646454816395	1.1228691352760438	3.7198706184466794	0.8213640993702316	2	2	2.280997731324012	85.24840556869874	65.0042233553674	131.87088022894284	85.00845204742127	70.75701039679801	84.6749538211286	83.83191327491777	80.45577935969706	84.70128429676805	69.02063197071216	83.15965881011732	83.097168793943	83.22567795263936	67.15171856286297	82.23928282387675	85.24840556869874	71.1211805104265	66.16625343423314	65.62751508643308	66.48577269200149	65.92839759046923	78.19708753462058	65.0042233553674	68.68907657180415	81.9412152224206	66.11335849752159	68.51319382646983	67.06928922411042	66.05266349924764	85.22512805055634	70.80906337580923
2765000	-642.568564451978	-27.99606768067327	-559.6014463218887	-54.971050449416	1.1208368250117444	1.115500163531288	3.681267976031693	0.8349873685092392	2	2	3.667994936790939	85.77067851675884	65.95652863420014	123.19937424092446	84.55426816876076	73.01248648631542	83.88179998527288	83.5229932419414	82.93805421921222	82.17482069096872	69.0578678098332	82.46813875482972	82.37053753692197	81.43940141348466	67.14520450370917	82.47435809527896	85.77067851675884	70.84208441085975	66.8092707234549	66.55252595582375	66.37645681142814	66.54443877737293	79.3099188856358	66.43645084433622	68.90846730769327	80.25308125575889	66.07678914145555	72.52878560851588	66.63816574725132	65.95652863420014	85.23489525854644	70.82754464174998
2770000	-657.7234010838599	-24.14559757247398	-568.6837627722152	-64.89404073917069	1.3556457182707433	0.8634158718135752	2.785016617732339	0.9857338802366125	2	2	1.1835080883456897	86.50174543782646	65.53695216375503	120.0588642388349	85.63834339720603	71.08531910839316	84.68152391131453	85.05179497877083	80.85152394284077	77.7672907290201	70.84311024771112	82.40769885030623	82.20449014608982	82.22154611457323	67.11338646626425	81.98063526852387	86.50174543782646	71.60545497881972	66.95148133592257	65.86316505989443	66.16847540835221	66.15866459340894	80.10442654953694	65.53695216375503	68.62608001946802	81.55712129921471	66.15261934842096	74.12054253160102	67.02315469623466	66.03695949437605	84.90865815898717	70.68669867965254
2775000	-648.9522750020409	-28.655562619687313	-565.581243180853	-54.71546920150058	1.4295961351869095	1.0251136494885023	3.757623848889582	1.0716901900575941	2	3	1.706326431719893	85.24658837923438	65.68507181351531	122.59196763706558	85.00078799071213	71.14527366017735	84.19725798253323	83.1812624897966	82.20637875814998	78.75494417729394	69.03532400335966	82.18953243590124	82.39577696305109	82.91885075264929	67.17146655413788	82.20701252308523	85.24658837923438	71.03846226714347	66.33277159650167	65.90719698673756	66.36293959221206	65.88266095212222	76.73075846711214	66.39135440502609	68.97991882955824	81.8574162426561	66.1654129415071	71.8981669161464	66.34925962915571	65.68507181351531	85.2239318560193	70.33009107188998
2780000	-650.9889353271778	-29.46467654273253	-554.399781949829	-67.1244768346163	1.655095501987267	1.1498035358379164	3.75434630981273	0.7562887665324503	2	3	1.2095323687165418	85.64016464609296	64.5613613137665	113.08873044068584	84.97554297396613	70.93660029018342	84.16112403544311	83.26150483793913	81.13249830934039	72.92116122244076	69.09707385493356	82.08855377023933	82.23807059315136	82.67279267519879	67.120901080937	82.49032271568197	85.64016464609296	70.98168696132815	67.09419482983519	65.63975136852734	66.24018026887188	66.44415874096073	77.2611986639707	64.5613613137665	68.9528424880813	82.0536185028885	65.53495619709366	73.84739658369278	67.00738553243158	66.0835934460885	85.18235619417189	70.72627339580966
2785000	-647.7918380875097	-25.639982394015163	-558.2881843888027	-63.86367130469182	1.3175285352691437	1.1939630800956884	3.472477304560649	1.1506020393701244	2	2	2.414221398295104	85.3858655470546	65.85996164345671	108.04274593643316	84.72750270883267	72.10626308665263	83.72480238444928	85.07530665252106	80.55246592938802	70.82091827753726	69.31461752821633	82.27639069918946	83.00435062271778	81.96971935851211	67.31238591071634	82.04162941006912	85.3858655470546	70.9693465773771	66.60905788487663	66.88394942049405	66.44236058338564	66.464669219249	80.15088110071588	66.22570922601872	68.93294542387223	81.66110371930677	65.85996164345671	73.85344324855762	66.3572969813957	66.01074131469746	85.17367906678628	70.61301992398792
2790000	-649.1021461990788	-27.771279294782836	-560.0707878934046	-61.26007901089133	2.573133460675927	1.0553418437131703	4.097259147569711	1.0723698819197658	2	2	1.6401852079093466	85.62862636584916	65.48960326639522	111.68893732292793	84.57550568594348	73.34930704547594	84.47013048329653	83.19389631875516	80.61870460907518	69.77557553027106	69.0475588821765	82.27817389539443	83.03764688245616	81.2331270160095	67.23965607776157	82.41196043742454	85.62862636584916	71.03726823650436	66.44634142877644	66.2125013541348	66.21854114948297	66.55411584734208	80.4131517972787	66.07398558442019	68.97538142530735	81.36842871972169	65.48960326639522	70.22279519225468	66.30047104744708	66.0944523372697	85.18362276988906	70.6548082237457
