it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertosaurus_TS	Albertosaurus_sarcophagus_TS	Alioramus_remotus_TS	Alioramus_sinensis_TS	Daspletosaurus_TS	Daspletosaurus_horneri_TS	Daspletosaurus_torosus_TS	Gorgosaurus_TS	Gorgosaurus_libratus_TS	Lythronax_argestes_TS	Nanotyrannus_TS	Nanuqsaurus_hoglundi_TS	Tarbosaurus_TS	Tarbosaurus_bataar_TS	Teratophoneus_curriei_TS	Tyrannosauridae_TS	Tyrannosaurinae_TS	Tyrannosaurus_TS	Tyrannosaurus_rex_TS	Albertosaurus_TE	Albertosaurus_sarcophagus_TE	Alioramus_remotus_TE	Alioramus_sinensis_TE	Daspletosaurus_TE	Daspletosaurus_horneri_TE	Daspletosaurus_torosus_TE	Gorgosaurus_TE	Gorgosaurus_libratus_TE	Lythronax_argestes_TE	Nanotyrannus_TE	Nanuqsaurus_hoglundi_TE	Tarbosaurus_TE	Tarbosaurus_bataar_TE	Teratophoneus_curriei_TE	Tyrannosauridae_TE	Tyrannosaurinae_TE	Tyrannosaurus_TE	Tyrannosaurus_rex_TE
3175000	-881.9810339313581	-27.83629451394562	-742.3532598109992	-111.79147960641319	0.5651472493233596	0.20137181111082825	0.2733776454940545	0.05996446773463592	0.08419180011997904	0.15707012166655707	0.46876745740786285	0.07860793060139087	0.3430942841481664	1.428189835686324	2.622641973338567	0.8916298699610276	1	2	1.895863649153384	135.96803878035098	65.19286716308677	305.3079704327598	83.77645759470195	113.46138250930395	68.42434186042996	67.84919501324428	87.4695229074976	101.60164138140519	89.07208571949371	81.51558112366888	93.40979157457576	78.20302995308016	69.45710558080478	68.770038707451	82.84112615957586	83.00478357871182	77.65474847956084	135.96803878035098	84.2882368893912	81.96633276063979	76.74622529476247	67.8980102085219	68.47620819009678	67.89612819950345	66.97751332667185	68.82850538967797	67.76453030782264	68.22715517699274	79.55766513527179	69.06736961254833	77.72809576808103	69.03100419180089	68.58502394565333	66.09162634891668	65.19286716308677	68.94500566925144	66.12721317181683	82.32757110826131	65.59422757365463	65.85597494825997
3180000	-887.0476627775969	-28.845404519067877	-737.5703924102094	-120.63186584831965	0.29140283429425856	0.1023025671089167	0.19467938896905795	0.057331854565582936	0.10148221509434295	0.1660314745923416	0.30205193910914596	0.09064169326285776	0.44726194982306805	1.6358221208505863	3.3849957572361595	1.0036077342515073	1	2	1.6963766830211227	141.70873043329308	63.07971152575023	320.5017228546259	84.12294163766308	117.1157048577484	68.43987046905906	67.94971410791132	85.25644651065926	106.179536929378	87.80237079914536	79.69191943181106	101.16308368429993	78.08467546442644	69.37832883821932	69.0825666382866	83.59874768949696	83.3935583920047	77.55692809316514	141.70873043329308	82.59477556255061	82.59453971479742	76.11802915825682	67.44195480462216	68.27086171393508	67.8214667458644	67.23609130549893	68.7161767858057	71.65678085761567	69.59294529531914	79.61634361997977	69.76596545077365	77.45763897924472	68.88860242987299	68.74531152445608	64.73423971113142	65.84822667593906	69.62480755695084	66.18468943481832	80.68945711765609	63.07971152575023	65.95947402231246
3185000	-887.8287282348858	-36.42794562699024	-732.7655340636827	-118.63524854421291	0.36906843767904063	0.12064400964719264	0.24374149576499785	0.050678764638110906	0.1672608934631122	0.1662081755323568	0.2631710568973079	0.0325202632009855	0.2852558494945067	1.3960822598321656	3.110346938547524	0.9151229899739202	1	3	5.181181865574471	141.93297807312044	65.58215892803102	329.9805831172228	82.7473069579535	123.55435826496905	68.61621614430966	68.06397531195366	85.45297727139253	107.63354273424805	86.8003777734284	79.62103228917688	102.64818455630594	78.28614453686497	69.42495352595319	68.86362134714304	83.02763966095783	81.75132610938577	77.58734690549034	141.93297807312044	82.91368017056658	87.36402852505378	75.57960076848074	67.79555077023176	67.01850067781565	68.31112452064976	67.50642962941527	68.62072597100124	72.07052698295281	68.87977135608023	79.56621192167941	66.8037567733791	77.84412369138343	69.08281233513094	68.58917217649294	66.28179735431064	65.58215892803102	67.5320509132481	66.08221942932602	82.3759701095699	66.01497967344304	65.93082459539032
3190000	-879.4205175195196	-28.412738728116004	-732.9689179134419	-118.03886087796172	0.15600795950546814	0.27319460768277876	0.11429571104107732	0.04780466159432839	0.1338385886678995	0.27568121229533105	0.3188105494799225	0.08060563998973382	0.26907810436994567	1.666578957972767	2.880609127236493	0.6970055586391891	1	2	1.967471787307427	137.6387543175995	64.75175413390019	351.25829573112094	82.83610812352916	129.88371057262782	68.63326011104796	67.80522848805327	86.62049479201465	110.7022410366107	88.9406059696584	79.94654900917637	102.7450317663732	78.04363069539986	69.41973976487306	68.76247734096951	86.82435088138486	86.71620223093961	81.25793624855213	137.6387543175995	82.67780902997445	85.56093996334286	75.72684707021995	67.82118823590875	68.51853160902739	68.30651577615997	67.73065110841416	68.12574783650837	68.6208897550789	67.90063211823657	79.58708271209936	68.93082265544355	76.8240029178529	68.9749534808133	68.74751801818466	66.33624595862611	64.75175413390019	69.5162280612793	65.83737691849763	82.17996405705047	64.95552356016798	65.81799276797689
3195000	-893.4860190468332	-28.672319065753506	-739.4570176628818	-125.35668231819795	0.05904877724068571	0.23603522701252297	0.1286039506048654	0.05840186786252396	0.1567121151093172	0.3476967798482326	0.4725191472546854	0.08315402266655257	0.2833705074123613	1.424251401431031	2.805139297689967	0.9456163611330974	1	2	0.6655634128517192	135.89610361570575	65.30691520064656	337.93729566829893	84.10124507035339	130.12050241386626	69.32911776253358	68.23133574476736	86.2914162139543	105.99107655354462	89.08385569047564	79.69784514178187	103.0664847847033	78.26379245806906	69.48387780861285	68.9842521291457	88.45534438699431	85.08860844234243	78.53390766101549	135.89610361570575	82.49785732967122	82.91555121534329	75.76412371231031	67.9026652885094	65.46712788401184	67.85157348972629	66.44943177507264	68.67558762459666	70.34348858261762	70.61598256572542	79.49700380764254	70.72933659354752	76.52393172883347	69.19892481912554	68.66805619553881	66.32778758582747	65.78564342547828	70.22107466269463	65.9808191389558	82.37782508419748	65.30691520064656	65.93582701414381
3200000	-890.7280195200887	-28.804675128728537	-743.8892739287843	-118.03407046257587	0.09327011238217153	0.14360804569031624	0.12955530027490345	0.14158087129193522	0.1333852682229698	0.2964760902305518	0.43289951781276303	0.116876172920376	0.21550709061712112	1.6492232745986621	2.662951749101739	0.991778047139211	1	2	0.6084611055453761	136.13303854013154	64.90995147594757	343.95172636075074	88.22253597801755	127.94986209255566	68.80321186847553	68.20350002993662	86.87799280773383	100.03709307247455	90.72808266599426	80.30349214041111	101.90507436278791	78.35950135125873	69.95162113244109	68.85387667604581	88.58349078490265	86.61912224639708	77.34285746225352	136.13303854013154	83.69022606451217	86.57798280525621	75.97481724251803	67.55123220816496	68.29689450762888	68.180413440258	67.6625145546034	68.64435233186367	69.28609557000009	69.08008748973164	79.21159009794833	69.16208467516158	77.53171521493707	68.91971104749916	68.73474443531343	66.19822901422496	65.91935005000019	67.9076858505875	65.7255860217901	82.31617756576078	64.90995147594757	65.92723741193186
3205000	-885.3406002632505	-28.80080226565228	-736.5868488940594	-119.95294910353891	0.20215821796773367	0.10969822894408482	0.22441685132641198	0.11102369273074078	0.07807854915387508	0.15583404343111343	0.20266617085708696	0.046975253567268935	0.21725904045758634	1.5876896850118758	3.2945180673249235	0.6813599126420484	1	2	1.5395617146414042	137.44937992583078	64.33510768062905	337.33875513111303	90.86096745393773	131.2422238706041	68.91713932165554	68.39079744671662	85.36532660667021	101.90585411651976	83.41186074769672	80.11920771460109	95.95443604742307	78.11562092414637	69.47844718169374	68.75990400222393	93.48113138028825	82.16308242381287	78.46244736237662	137.44937992583078	83.93503317306936	85.36896133121694	75.60983288990022	67.31183798376861	68.26501417581525	67.830116612915	67.58532963417443	69.01775455186937	67.69374412807315	69.07523890188644	79.32478522110993	71.29656079767035	76.9267258017886	69.23202558884093	68.75344459661645	66.37384776480103	64.33510768062905	69.17430277404765	66.06359724366999	82.1474966788642	65.57460741062613	65.67136124210434
3210000	-891.1558877224845	-40.437442475704245	-735.1438019304716	-115.57464331630865	0.09406097098665503	0.15173988155302948	0.0976825047198948	0.10788767804193444	0.08603595989781196	0.23489049456216515	0.16612130917724902	0.05086241336270845	0.2179306947974113	1.2660503390693365	2.8141119104571746	0.7216486744220008	2	3	2.5016116694110044	139.49983826589926	65.5983111290835	350.5115158755468	96.681165391993	132.51056431233508	68.46309833440432	68.02592514515094	86.15622460822918	101.31027185541564	86.18873957048388	80.0429617342463	97.73044727894106	78.52593535367701	69.63622360580668	68.8686483995647	85.4092950426762	86.21251718313181	77.79857235122145	139.49983826589926	82.66392386970917	89.5629352425644	75.713623936724	67.83405251731067	67.19651504026967	68.23374894974395	67.73608585975649	68.52475910970549	68.09233385560249	67.73075284536046	79.13523846142779	70.2222411967627	76.86980844782542	69.24415244417618	68.32144199679792	66.10382310593383	65.80521795936414	69.5111010517184	66.16912588777414	82.27521090905552	65.5983111290835	65.88547483895857
3215000	-890.1995199286999	-40.77954161376304	-739.2991748019413	-110.12080351299562	0.2167356052259767	0.12058759664451241	0.1101270758375209	0.05274167611914825	0.11606781332804111	0.155708223974248	0.3703560244157654	0.05324820751708511	0.1548345643708004	1.53451642871531	2.714142186454351	0.8322917078273864	1	3	1.0161708475327207	138.17138423392535	65.51184864336369	375.8833570057768	104.90868438437518	125.04527972085994	68.88386765954981	67.90186318369452	92.22035510574722	103.54553806264256	90.79422542841495	79.66713365286331	106.00455300501585	78.08019785825088	69.37041240836179	69.04779601515587	83.21898871965836	85.99291391297434	78.72038638940032	138.17138423392535	82.95000919862139	90.0741152685674	75.81185794558229	65.9461339166534	67.58141357693282	67.94742569012847	67.2751400580228	68.14004567940164	67.77873180144883	65.51184864336369	78.61910866440365	69.62766880208298	77.99130656719736	69.2825888671649	68.60559657582665	65.93641241198131	66.02775440528282	69.25064643118026	66.0236463498714	81.06350169723353	65.96873225686151	65.94850275284651
3220000	-897.1953470866595	-41.663782433543375	-738.3393727070112	-117.19219194610491	0.2595177322388676	0.20350402382625526	0.06900289066759323	0.12364479836123016	0.04907049873794733	0.33883590940447145	0.1913279424733868	0.035415940608451824	0.31997598426071505	1.3514873556973794	2.830093456298715	0.9493071520395954	2	3	2.459499615826784	136.42997907536625	65.63760982001357	372.10326756344	104.03560603173713	125.14693508388878	69.12939713604943	68.49982199795292	93.0824064741737	103.83795013393194	87.6382669723401	79.6936086163332	105.77666139227642	78.48673234839285	69.37894417302866	68.86076001965245	86.66660711814693	89.09541839016647	83.82326341895218	136.42997907536625	82.87640288565737	85.87687790636076	75.91391621923935	67.80209172303077	66.7331948039747	68.35722474038052	67.27815321514464	65.63760982001357	70.5143415412559	68.03168599599378	79.03658356719606	70.03926938070151	78.0054020671784	69.30523044314462	68.71909890076813	66.17342146564002	65.70028567810581	70.52603691354327	65.87532575856928	82.31048974896825	66.12346913353251	65.97737293306514
3225000	-890.6602055644793	-45.12111925335753	-734.0337985905303	-111.50528772059147	0.2904960286689149	0.29535988896419696	0.08328349566572002	0.041257207612528705	0.046522446761768636	0.24695086137729275	0.26056601351982706	0.1068951833076787	0.31877293799718437	1.525023957705272	3.3041851318945974	1.355781911184976	2	3	2.9315217881791296	135.8362078073302	65.96808092782294	368.3401699355805	107.46922679501058	121.38103317725242	68.5531600653182	68.10987740397306	92.84452171858449	98.93858261090233	89.32936967981387	79.88710997037207	108.53477882784894	78.34965568050181	69.60103784343352	68.9415273716789	91.29726570465803	89.97088097304358	80.56345117524829	135.8362078073302	84.49170201247591	85.10578276381493	75.70681742128694	67.5480607426461	68.41407785183091	68.2848598050706	67.57742300598994	68.00343556730131	70.64282638860348	70.17599879207482	78.87174577486746	68.97732106887763	77.58418022301348	69.21419706753404	68.74181197700175	66.14040113037574	66.0780208438137	69.83620214629532	66.08818274844604	82.30022198981108	66.12477101559122	65.96808092782294
3230000	-894.2185601474615	-44.891967963740086	-727.7187622669835	-121.60782991673796	0.21509257394873071	0.3209675941240557	0.09856554625206754	0.027303706283110348	0.05239550010834069	0.1819074511357488	0.2820999902476811	0.09271149184144914	0.30209360026619547	1.7898103479753749	2.9237742847487773	0.86995661847064	3	3	2.674334643631124	136.01544085058813	65.31079776303554	358.54290522454244	106.0236805781935	122.86620725171353	68.91888659039624	67.95124726807384	92.81408333721966	101.02283503292995	82.64254399871317	79.80423902663583	108.04023896504603	78.04512521484914	69.38738292526465	68.89837120040313	91.25816900732187	82.36960155174201	76.83897351807188	136.01544085058813	82.47856047655043	94.30691408802664	75.77166229464275	67.59403970636312	68.43040836601025	68.20326500176222	67.10930235857163	68.95557874256471	69.01704378784	71.08121927926847	79.5390086548138	70.30994858230923	77.91841142998483	69.22721424276907	68.05775676793915	66.16430203062853	65.82139844526978	69.42639309687101	66.16730871762617	82.40187627131886	66.1759847068936	65.31079776303554
3235000	-879.2824191818688	-29.32029332212176	-733.6754409267194	-116.28668493302769	0.3263840178656603	0.3376040636990689	0.05746238699534769	0.03099191058895234	0.1366660550705358	0.10731761008583532	0.3392643875884957	0.09466010578768244	0.27009996190859	1.8185345736984588	3.149340508696171	1.0086874377018522	1	2	2.086295429625495	136.0558562869904	64.83951499428078	362.9705141876127	106.79616770554563	120.82497726771325	68.74741783349857	67.91304154087221	86.7643663871006	103.4841227814412	87.08190913650793	80.24696660404366	105.89663618765977	78.11223944979243	69.59920991559756	68.75576784034767	90.04034824996245	81.56577559729323	79.07384368338761	136.0558562869904	82.73056209687469	91.89752814764036	75.72504828396848	67.8538731931754	68.23830120207994	68.21583975945177	67.66827042793159	68.75459806756392	68.05293942324793	68.97967548139789	79.41809126944223	68.37053296105483	76.6657308929009	68.98820815650629	68.70782503649136	66.2253691284993	65.88735797588636	67.16559403451137	66.05099486441453	82.30507094410186	64.83951499428078	65.9534829956868
3240000	-898.86576998307	-28.44215651902022	-749.5111134869425	-120.91249997710725	0.13623910090339772	0.26071319720014124	0.0551647096257631	0.04319060490778276	0.18044742949272058	0.14044016477777985	0.20922039819260033	0.12880726350500074	0.27763784051895996	1.3414405244169831	2.8714346777554662	1.1169884825947678	1	2	1.6374192431518175	140.603344467145	64.6169986405337	372.9480112254382	107.69342037562886	118.94369865753583	69.31904314806344	67.80570101729657	85.86469170084064	107.39341390879048	87.86028464177036	80.22426000602334	104.70346220261449	78.3167256495749	69.6557433321629	68.77877388726831	86.5697155526413	82.1489363817629	80.87439668119643	140.603344467145	84.18940177046497	96.91113611004798	76.58766957026702	67.78110272397642	67.87092652722448	68.32678325430719	67.56533824682316	69.2977621036223	69.99221791805516	69.41823086639126	79.42362845769439	69.19413401643199	77.83300514086015	69.27782322551842	68.41568479301112	65.64573112256033	66.00349394990457	69.22762330922038	65.66916025556182	80.20892093388134	64.6169986405337	65.72724235007934
3245000	-884.5328229928951	-33.15648320836554	-735.6143386210742	-115.76200116345535	0.286807135887369	0.3071671053423998	0.08430903827116148	0.030453985815209982	0.13069962779077768	0.12965022080026875	0.11251019642369343	0.09755846803649428	0.298963123403396	1.6253950041664857	2.6301068567061945	0.9961237705126125	2	2	1.9499532940828788	136.695297948318	63.67759652929967	360.74082131713817	101.90728713012854	125.99338423414214	68.47040162840773	67.78702425507318	87.8810450573052	107.30339778820515	85.01383975642172	79.85503375317904	95.36565076022299	78.46937124633699	69.36632851136531	68.79207928664934	87.07532315638556	82.74575021934484	76.85880339026359	136.695297948318	83.09572614184228	96.9892269922105	75.67006942988608	66.7013132382318	67.12252315644986	68.37324192528826	67.74127328364604	68.76507710365729	68.05893704463051	69.00932886837342	78.56585455732836	68.24672127951695	76.77875811675679	69.07111440448098	68.42757319058711	65.54961798380295	65.68432023429646	68.78632576146725	66.10175973728433	81.96011613972273	63.67759652929967	65.97276681372931
3250000	-897.1041789214426	-30.208862093229776	-740.6379960813867	-126.25732074682605	0.37978217207822873	0.3623300935049385	0.1265956465296332	0.0599953029788424	0.0881573201298515	0.13171276543604926	0.07500912979649027	0.09059382098216533	0.25820800953569834	1.6799316549778263	3.56595581281381	0.9882644408579772	1	2	0.5175424116436184	136.56046714441706	65.50269630185633	350.8723461146906	99.62022587110496	127.90907706053711	68.77367279632456	67.75946983158357	87.87676775105248	106.31674775212112	83.94618906932882	79.63566143861225	98.26808689909718	79.46352466720063	69.41568195275873	68.90874277858542	84.84162350956097	83.04070863995048	76.85107839896021	136.56046714441706	82.52875177915739	94.66713667852784	75.83746225917193	67.16531395711885	68.5072756723474	67.74168419261194	67.46288940267016	67.83538229163199	68.54897578049093	72.32819486497762	79.55455437453945	69.93010222064166	77.73111414424082	69.36115400565369	68.56716492985846	65.50269630185633	65.65458072012355	67.24904154566576	65.55043389529943	80.60679481938305	66.17458723183222	65.87678981241888
