occurrence.genus_name	status	ma_max	ma_min
Richardoestesia	extinct	84.9	70.6
Saurornitholestes	extinct	79.7	79
Dromaeosaurus	extinct	79.2	79
Saurornitholestes	extinct	79.2	79
Richardoestesia	extinct	79.2	79
Richardoestesia	extinct	79.2	79
Saurornitholestes	extinct	79.2	79
Dromaeosaurus	extinct	79.2	79
Saurornitholestes	extinct	79.7	79
Richardoestesia	extinct	79.2	79
Saurornitholestes	extinct	79.2	79
Richardoestesia	extinct	79.7	79
Saurornitholestes	extinct	79.7	79
Saurornitholestes	extinct	79.7	79
Dromaeosaurus	extinct	79.7	79
Richardoestesia	extinct	79.2	79
Saurornitholestes	extinct	79.2	79
Saurornitholestes	extinct	79.2	79
Richardoestesia	extinct	79.2	79
Dromaeosaurus	extinct	79.2	79
Neuquenraptor	extinct	94.3	85.8
Hesperonychus	extinct	84.9	70.6
Pyroraptor	extinct	84.9	66.043
Variraptor	extinct	70.6	66.043
Saurornitholestes	extinct	70.6	66.043
Unenlagia	extinct	94.3	85.8
Austroraptor	extinct	84.9	66.043
Deinonychus	extinct	125.45	99.7
Deinonychus	extinct	100.6	99.7
Deinonychus	extinct	112.6	99.7
Deinonychus	extinct	100.6	99.7
Deinonychus	extinct	112.6	99.7
Deinonychus	extinct	102.3	101.4
Deinonychus	extinct	100.6	99.7
Deinonychus	extinct	100.6	99.7
Deinonychus	extinct	100.6	99.7
Deinonychus	extinct	100.6	99.7
Deinonychus	extinct	100.6	99.7
Deinonychus	extinct	100.6	99.7
Deinonychus	extinct	100.6	99.7
Deinonychus	extinct	100.6	99.7
Deinonychus	extinct	100.6	99.7
Deinonychus	extinct	125.45	99.7
Deinonychus	extinct	100.6	99.7
Deinonychus	extinct	112.6	99.7
Deinonychus	extinct	100.6	99.7
Deinonychus	extinct	100.6	99.7
Velociraptor	extinct	84.9	66.043
Velociraptor	extinct	84.9	70.6
Mahakala	extinct	84.9	70.6
Dromaeosaurus	extinct	80.9	73.3
Dromaeosaurus	extinct	109	94.3
Dromaeosaurus	extinct	68	71
Dromaeosaurus	extinct	70.6	66.043
Saurornitholestes	extinct	81.3	76.2
Dromaeosaurus	extinct	80.9	73.3
Nuthetes	extinct	145.5	140.2
Deinonychus	extinct	100.6	99.7
Dromaeosaurus	extinct	84.9	70.6
Sinornithosaurus	extinct	125	125
Hesperonychus	extinct	84.9	70.6
Richardoestesia	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Richardoestesia	extinct	83.8	73.7
Saurornitholestes	extinct	83.8	73.7
Richardoestesia	extinct	83.8	73.7
Saurornitholestes	extinct	83.8	73.7
Dromaeosaurus	extinct	83.8	73.7
Velociraptor	extinct	89.3	84.9
Graciliraptor	extinct	125.45	122.46
Dromaeosaurus	extinct	70.6	66.043
Deinonychus	extinct	100.6	99.7
Velociraptor	extinct	84.9	70.6
Unenlagia	extinct	94.3	85.8
Richardoestesia	extinct	70.6	66.043
Atrociraptor	extinct	70.6	66.043
Buitreraptor	extinct	99.7	94.3
Microraptor	extinct	125.45	112.6
Microraptor	extinct	125.45	112.6
Microraptor	extinct	125.45	112.6
Microraptor	extinct	125.45	112.6
Achillobator	extinct	99.7	84.9
Itemirus	extinct	94.3	89.3
