it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertosaurinae_TS	Albertosaurus_TS	Albertosaurus_sarcophagus_TS	Alioramus_remotus_TS	Alioramus_sinensis_TS	Daspletosaurus_TS	Daspletosaurus_horneri_TS	Daspletosaurus_torosus_TS	Daspletosaurus_wilsoni_TS	Dynamoterror_dynastes_TS	Gorgosaurus_TS	Gorgosaurus_libratus_TS	Lythronax_argestes_TS	Nanuqsaurus_hoglundi_TS	Tarbosaurus_TS	Tarbosaurus_bataar_TS	Teratophoneus_curriei_TS	Thanatotheristes_degrootorum_TS	Tyrannosauridae_TS	Tyrannosaurinae_TS	Tyrannosaurus_TS	Tyrannosaurus_mcraeensis_TS	Tyrannosaurus_rex_TS	Yezosaurus_mikasaensis_TS	Zhuchengtyrannus_magnus_TS	Albertosaurinae_TE	Albertosaurus_TE	Albertosaurus_sarcophagus_TE	Alioramus_remotus_TE	Alioramus_sinensis_TE	Daspletosaurus_TE	Daspletosaurus_horneri_TE	Daspletosaurus_torosus_TE	Daspletosaurus_wilsoni_TE	Dynamoterror_dynastes_TE	Gorgosaurus_TE	Gorgosaurus_libratus_TE	Lythronax_argestes_TE	Nanuqsaurus_hoglundi_TE	Tarbosaurus_TE	Tarbosaurus_bataar_TE	Teratophoneus_curriei_TE	Thanatotheristes_degrootorum_TE	Tyrannosauridae_TE	Tyrannosaurinae_TE	Tyrannosaurus_TE	Tyrannosaurus_mcraeensis_TE	Tyrannosaurus_rex_TE	Yezosaurus_mikasaensis_TE	Zhuchengtyrannus_magnus_TE
2255000	-1606.007574691079	-30.51694959898151	-1428.6243398637516	-146.866285228346	0.08488717220328518	0.08022738431577787	0.3743140140294518	0.3294420187337573	0.37119569258049906	0.3584995204319236	2.744929836819957	6.499746282912665	0.6702724621981732	1	2	1.2283854485820886	127.40620412244604	65.9127988114006	287.37381747316425	76.81719141959857	87.32650150062118	82.46941677265363	72.28957361619473	71.81302002667258	85.56997742823712	93.27347073775258	83.18268701102411	77.1672170362527	78.83780517232097	83.02030895355821	84.65236400076469	80.10462018173081	69.11827328066876	71.98720935612056	90.95659931238417	91.65925749731929	89.97428304086998	127.40620412244604	81.80250425210704	81.63195500450017	66.79124457885165	81.88745424070902	86.88414935948606	75.98978635626518	76.59972175255191	67.90830370157936	66.01266633940237	65.9127988114006	71.69737603827613	66.3472505861981	72.77242860900911	72.3129066272453	76.0681819303002	76.99505891340056	69.32203245811604	72.34726472211806	79.99671721257576	69.02094801164715	66.30183971693927	66.32133000517129	73.26817680084994	78.94891037852969	66.0818086656033	72.12810739193809	65.96113900096141	66.35443533510589	65.98765830451299	85.15715241951607	75.41504305299696
2260000	-1595.2414769649433	-35.67673177344234	-1416.0943645003852	-143.4703806911159	0.10720193693872884	0.10758336678276062	0.4142607734209195	0.40336184875385217	0.2959589960791195	0.34521953971960034	3.140331750152745	6.0910065276383305	0.6261083683641466	1	3	1.668037840606642	127.79805480511439	65.75494182694256	287.1816842552379	76.89066770116722	90.30597324116339	80.66465125536656	73.04761556594023	71.9741037516631	87.82409936234703	88.67422630044635	85.0485692731579	76.410350902812	77.25907912927299	86.69295569489769	89.72858565921803	80.26073382772363	69.13076521300067	71.51242148046686	90.55079899042681	87.9020197086838	88.5031824230317	127.79805480511439	81.85358993477016	82.0402097516996	66.75270857360847	81.92218600132895	86.03479127468964	75.86658506440271	76.75629849646162	68.11095353955743	66.23782729031026	66.16710395626546	71.72217852982416	67.40245698092012	72.81468180792731	72.14619020551774	76.30405431688831	77.18404703581501	68.26331028786194	72.44557717078476	79.25751818627869	68.87217271285864	66.31769583256826	66.20070503635291	74.55392434614797	79.37904136914186	66.17316135280468	72.18990151440265	65.75494182694256	66.35148243176567	66.00147049338295	85.51786135299811	75.34268455738295
2265000	-1606.0991509053795	-35.0372980133807	-1423.9451955223453	-147.11665736965347	0.12770674380883376	0.1498396306254302	0.3602676021519606	0.48414198152916443	0.30028468900287447	0.20628552979559334	3.1750439688032994	5.184444443082668	0.6326850516703568	1	3	0.8230639993503269	123.4561923750562	65.76231041592108	285.05609719249844	76.87970125337202	89.96410458995678	81.4589469659898	72.688941025926	71.87720256283193	84.90254708008376	88.44677301061098	83.77232444006395	76.38379781253352	77.25357605160548	84.2772941293038	90.71217155432468	80.11521248638478	69.20695570305999	71.52390467617178	90.43733612263911	90.41022805954177	89.06723823587082	123.4561923750562	83.08530935250492	83.12950491843178	66.80957721684076	81.46632248929848	86.43498884518226	75.92978774257082	76.75067626965533	67.21504067294099	65.76231041592108	66.15489320104646	71.75251456606563	67.86348878985955	68.49942336229007	72.41752533277592	76.02977618030363	77.16244947603286	69.57052755833993	71.87706199993531	79.84942739283159	69.07937779497615	66.40214250121862	66.36288171816729	74.60086836495339	80.02036277624325	66.14948043143669	71.9079282531002	66.10152583926217	66.41153472350754	65.88255169730165	85.51243466909463	75.29763752039784
2270000	-1608.631305177451	-37.428818943493766	-1431.3698292925556	-139.83265694140164	0.1878304467558832	0.21426359209779663	0.4903940133335621	0.5228453560097366	0.26528056420780555	0.28419005292170424	3.1416529441304935	5.908336351222176	0.6696943890671533	1	3	1.3656278961239103	124.66871573867276	65.94757054210346	301.49788788054883	76.87814410827347	91.71402921122028	80.93713378881885	72.59907700434401	71.78553958057597	83.88334523954109	87.30496198456252	85.54946516439011	76.50876763396985	77.26072433618303	83.83889382187641	88.68700451311848	80.8530996958767	69.14696393852857	71.59202067425659	91.36338401055951	92.60039383255445	90.57672801596318	124.66871573867276	84.92324247769656	85.94281710536212	66.79570109301025	82.1599122406342	87.88230094545764	75.775180265326	76.44606186736542	67.68514774379517	66.14478825805712	66.17034198574889	71.75877835445263	66.17111183901908	69.68355985579302	71.5112205052165	76.18425088550075	77.0947790360415	69.75339677091871	72.22815365535048	79.93605477783277	68.75908329782969	66.24260253246399	66.19413065618109	70.80321619087294	79.8594757290453	66.15166208410336	72.19927147442665	65.94757054210346	66.21403139312076	65.96940712000419	84.97573011624617	75.64583186873413
2275000	-1607.9863450169873	-38.12360219231658	-1423.8509759062038	-146.01176691846695	0.2497036400969057	0.12982335314219337	0.26177462380813027	0.661456479796128	0.21877397674966947	0.309445817128073	3.45126325283626	6.836616376126521	0.6297998031823632	2	2	2.010751592531422	123.13069573110278	65.73465740415922	292.81358894250366	76.91413397133233	90.20736784779848	81.76455192442548	70.96664700809212	71.91071387542065	82.6407150149541	87.70102138762898	87.05263038151826	76.68073641296964	77.82831539091336	85.02568245157777	90.93197128460423	80.45262318038725	69.15497742763054	71.46645455047911	89.7860846936802	91.47020105078964	89.92564416197163	123.13069573110278	83.15241715912069	82.5521196411215	66.68002422987183	81.52302450977074	86.6587541239179	75.6648404504125	76.53654818609868	68.00316252157863	66.38235009285454	66.2462401824848	71.58849851580429	65.81015606147695	67.76035391871554	72.33815360511674	76.27019688240429	77.14523169057532	68.97824979621353	72.55853955300901	79.99414314087227	69.05042613255891	66.30719374940418	66.24036983551662	73.2281244296668	78.60128339945425	66.156215195478	71.48594667360862	65.73465740415922	66.25212686206254	65.9817217804813	84.14954460062552	75.62932470876751
2280000	-1607.7093529548079	-30.613213900141837	-1427.0003608701443	-150.0957781845218	0.4531151580410092	0.12370925722330245	0.34690969069178396	0.41847001918201154	0.20573812088185056	0.33920154942097	3.231107746246247	5.66073005643768	0.6730133481496876	1	2	1.8722052830748952	122.48280683934883	65.38149249631218	293.7799609018155	77.05715754716586	86.37536075388977	83.14553781715824	71.27135886096501	71.94243098097246	84.93685693415092	87.61238810831485	86.53716979205592	76.49946265632843	77.7872946131513	81.98675581740906	87.35113791507871	80.1114862994752	69.14700087592755	71.66572167083561	89.90164525401818	87.28999867402536	92.651940129499	122.48280683934883	82.22241335851426	86.96447388737965	66.80737784238968	81.62537718883358	87.4150349061031	75.68292708902072	76.78800222093457	67.95065928693138	65.38149249631218	66.32632255680953	71.76498218653259	65.57586063253203	69.23038867009173	68.42777904057178	76.04294394616397	77.20387793222976	69.0685106751473	72.37869271860266	80.03617666594343	69.04641550078135	66.29549462454034	66.06230843761577	74.60479173983676	73.90200874948776	66.18884717682597	72.16613748021459	65.84533282502619	66.2111337902418	66.02810152075907	84.51374737833028	75.65114665773295
2285000	-1620.1628337968693	-34.832211334033744	-1437.2345674314008	-148.09605503143484	0.3695144013805199	0.17760189518872	0.3624205567518994	0.8331268625629001	0.17264309776472497	0.18874820912130746	3.1941764520131555	6.01883615878281	0.7051228149278015	2	2	2.1221163798293863	122.50089940796555	65.56923564106476	281.70716705469374	77.63023678193427	87.73356093680371	83.43808618863491	71.63430470256202	71.80201452937804	82.80841743536912	88.19095825429874	84.1194431486091	76.38214702474984	77.9531918044399	81.97793634253695	83.18974474797608	80.91487552170774	69.24881285524583	71.7382822434911	90.68503110941464	84.39611313669211	94.18534626190088	122.50089940796555	82.10884583972638	82.29925892653057	66.76165004926338	81.72122376038516	87.27268196735763	75.75714713477159	76.75115731308067	67.96829185220162	66.45738003724429	65.99430422763952	71.77888641555003	66.59356322847216	72.48035706749741	71.85549459977653	76.32085696699617	76.80319028631652	66.3168974639299	72.14329384831684	79.95672516703092	69.04188561785517	66.11266299276946	66.26161708903024	74.02669991697303	72.31751352856728	65.97131442106756	70.98247127398004	65.8274873464736	66.55566054296183	65.56923564106476	85.1055486301386	75.5505475821173
2290000	-1600.700381860964	-30.50524453489815	-1426.2868091017504	-143.90832822431548	0.27965373399672333	0.12502096813801095	0.22203501134845588	0.5273359860347602	0.08432234955325821	0.30793556542515926	3.054750057655064	6.288332498838674	0.6015898364737006	1	2	1.672066067943788	123.94764581920533	65.45257132299575	295.8965686455592	77.22279762133725	88.38785903321974	81.81004066883382	77.53280658580258	71.91820782788794	83.15138405487491	89.04104622789086	86.73742316030481	76.74279010952986	77.3691907818925	84.87786334305125	84.07594823414466	80.11225878074856	69.0884230240372	71.52694829052058	90.45166436812175	82.66064218824195	93.18419189260693	123.94764581920533	81.72503691235487	81.74118880825722	66.83221781130041	81.52387942734468	90.49093608101418	75.85304249842979	76.5768395593198	66.38504085430247	65.98548753686303	66.28281714960326	71.7127318474794	66.24115488365483	71.77700291810919	70.92460525667316	76.31201113299507	77.09114658708364	65.45257132299575	72.1486701858093	80.03405822020731	69.07570166757299	66.36256964240579	66.16688782010412	73.62404337938835	73.68442205311143	66.15675110849297	70.49441968529354	66.09869105671999	66.36788415177288	66.03655631653285	85.49015509909866	75.62664546980464
2295000	-1622.2436244630246	-33.80554676849495	-1442.5177423236262	-145.92033537090356	0.3079635063069831	0.11404905704569586	0.44640544213038424	0.7629907216892271	0.16621513309460437	0.6556770793678349	3.1814160553040964	6.001247107895551	0.6250135900304844	1	2	0.7049723506225414	122.43851527199773	65.94816832497841	311.86761565609993	77.78091746533092	85.96058782374223	81.92357133253141	77.55769307149882	72.35612270891522	85.35143332613508	95.58241160611121	85.24746766875678	76.59082812428439	77.29252650182104	84.15121804357872	84.1158589908679	80.48560054524965	69.15454052524154	71.63291556365238	95.30475395902116	83.05451773163087	95.11162215315451	122.43851527199773	82.01894010885573	83.75938851071221	66.81673851024338	81.45940508195913	88.55838833112041	76.0830674275994	76.54987075153242	66.20411785182695	66.0691623252138	66.39340226421778	71.58223959721113	65.94816832497841	70.16202293606443	71.7787433579508	76.11822523454792	77.22039120987165	66.19336469415002	71.79274336102749	79.73597726172491	68.72104086609808	66.27734521897408	66.2281011089341	74.03377149913297	71.07698540154814	66.16824319603265	70.13406799056588	66.16006369765532	66.26339200395113	66.00568339488476	85.50125325088608	75.603037928931
2300000	-1614.1392773174089	-30.156738185743034	-1431.6216251269932	-152.36091400467262	0.3184957913221538	0.19136617279357335	0.4057438097621583	0.5624589158652857	0.23086925326461344	0.9121945805162501	2.757925831939553	6.3220877084621865	0.6052413685830342	1	2	2.3117891202691765	123.57595665586875	65.44380701212597	300.00150526091824	76.85141936419669	89.55653151833141	80.59330168968074	80.11384548349244	71.79667355619642	85.16720331026502	90.20467536051821	84.50612909443507	76.47901484706134	77.24495624748502	83.5147186594246	83.40145353508252	80.77538992554278	69.33264668281899	71.99445674924097	95.62910631146293	82.01299434170893	91.614919071375	123.57595665586875	82.62574445297606	81.88514992224033	66.68654302155906	81.87979579658457	87.01071678021711	75.89355962023441	76.75660545142142	66.8614491300739	66.36751182163522	66.58819961246785	71.7021450460644	65.73710338679108	70.02432466051657	72.16032951051827	75.34403077620841	77.18388811482151	66.64426426592233	72.26663251382517	79.91870183262849	68.68083248068879	66.42626512099471	65.64324618191739	73.35580697702355	71.41218282999283	66.12459446902696	72.26969165820545	65.44380701212597	66.49065210949469	66.0125630353321	85.33549561096014	75.595073128424
2305000	-1602.266158771831	-30.271080747638493	-1423.814783564722	-148.1802944594706	0.24949190491824885	0.08965204194265948	0.40244697415698594	0.4875136471610916	0.2653415433160023	0.5746964177112571	3.2036815533411374	5.834245994559033	0.6643807708665852	1	2	1.4515104495650397	122.69847888967035	65.65840936755151	287.2379201087755	76.86311092689256	86.62193518611657	80.70526917452632	79.49530841020267	72.54702343665302	85.62040982037398	89.37927811047662	84.23509205117684	76.38120640087884	77.5707352196823	82.99986557251754	84.0512542549077	80.16047234491828	69.36144363409852	71.56904392702127	94.65948898181595	82.02604340487217	90.82888287558364	122.69847888967035	81.787590252883	82.8758998497603	66.96707665535364	81.62376738243637	88.27485521053573	75.73608307619322	76.78975220869312	68.06958236812163	66.45312930772624	66.43362943242843	71.73746340664442	66.0810919369307	72.49265173604125	70.04936199940306	76.3050948395584	76.68643007152929	69.45326291158815	72.0500054086272	80.0008207281236	68.94855129540659	66.37723950796212	65.65840936755151	74.66226906725728	72.91698868720346	66.1810360410171	72.04387510700909	66.02541533716996	66.16348614577595	65.69443393294935	84.89876962501302	75.62894447104104
2310000	-1610.533898453691	-36.50588734370121	-1427.0612059111093	-146.9668051988806	0.17514541111776724	0.06547060018949621	0.317702301679089	0.8827556480590801	0.29235933151042537	0.7987112515237316	3.3255718780579264	6.094233817634651	0.47187204800902316	2	2	4.293963855480975	123.61092374700722	65.91812105257564	292.98909116402	77.24193972713573	84.02446494351184	81.52326069190899	81.45822870546226	72.0670450693812	87.66286589943171	94.10924020376406	83.55692032744305	76.50166067544788	77.41790901828259	83.22300644951973	83.71878758362884	80.78335630271266	69.32168475825127	71.51086404750862	95.79198009057305	81.89640618220636	93.75584598849883	123.61092374700722	82.93611285194935	81.72156798352368	66.70453699266099	81.68833519136531	88.45440899693467	75.67989624937822	76.45754378885147	66.344383677666	66.11335560509853	66.3559630648647	71.66712008097403	68.37542708028613	70.9448507042826	71.7514892875744	76.11433980307177	77.1241880584636	69.97286542970936	70.68557633795818	80.0629982781085	69.00743581522062	66.37983839940962	66.32844508678915	74.70884935495313	77.53762390289467	66.17510428153678	72.30424615183824	66.02911884462738	66.35070044539195	65.91812105257564	85.02043982280202	75.64213315851966
