accepted_name	status	max_ma	min_ma
Corvus albicollis	extinct	0.126	0.0117
Larus fuscus	extinct	0.0117	0
Chroicocephalus cirrocephalus	extinct	0.0117	0
Hydroprogne caspia	extinct	0.0117	0
Bubo lacteus	extinct	0.0117	0
Inguza predemersus	extinct	11.608	5.333
Dege hendeyi	extinct	5.333	3.6
Dege hendeyi	extinct	5.333	3.6
Colius striatus	extinct	1.806	0.781
Hypacrosaurus stebingeri	extinct	83.6	72.1
Prosaurolophus blackfeetensis	extinct	83.5	70.6
Einiosaurus procurvicornis	extinct	83.6	72.1
Einiosaurus procurvicornis	extinct	83.6	72.1
Chindesaurus bryansmalli	extinct	228	208.5
Agujaceratops mariscalensis	extinct	83.5	70.6
Potamornis skutchi	extinct	70.6	66
Sauroposeidon proteles	extinct	125	100.5
Dromaeosaurus albertensis	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Troodon formosus	extinct	83.5	70.6
Richardoestesia gilmorei	extinct	83.5	70.6
Dromaeosaurus albertensis	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Troodon formosus	extinct	83.5	70.6
Richardoestesia gilmorei	extinct	83.5	70.6
Avaceratops lammersi	extinct	83.5	70.6
Latirhinus uitstlani	extinct	83.5	70.6
Edmontosaurus annectens	extinct	70.6	66
Macroolithus yaotunensis	extinct	83.5	70.6
Ovaloolithus chinkangkouensis	extinct	83.6	72.1
Elongatoolithus andrewsi	extinct	83.6	66
Anatotitan copei	extinct	72.1	66
Eubrontes veillonensis	extinct	208.5	201.3
Grallator variabilis	extinct	208.5	201.3
Aquatilavipes izumiensis	extinct	132.9	129.4
Coelurosaurichnus perriauxi	extinct	247.2	237
Sphingopus ferox	extinct	247.2	237
Anchisauripus bibractensis	extinct	247.2	237
Triceratops prorsus	extinct	72.1	66
Emausaurus ernsti	extinct	183	182
Mamenchisaurus constructus	extinct	163.5	157.3
Eoraptor lunensis	extinct	237	228
Herrerasaurus ischigualastensis	extinct	237	228
Herrerasaurus ischigualastensis	extinct	237	228
Titanosaurus indicus	extinct	72.1	66
Meleagris gallopavo	extinct	0.126	0.0117
Cygnus columbianus	extinct	0.126	0.0117
Mareca americana	extinct	0.126	0.0117
Protohadros byrdi	extinct	99.6	93.5
Vagaceratops irvinensis	extinct	83.5	70.6
Iguanodon mantelli	extinct	130	122.46
Confuciusornis dui	extinct	130	122.46
Mantellisaurus atherfieldensis	extinct	136.4	122.46
