Species	Stage	MinT	MaxT
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Edmontosaurus_regalis	extinct	72.1	83.6
Eotrachodon_orientalis	extinct	83.6	86.3
Glishades_ericksoni	extinct	74.9	83.5
Gryposaurus_latidens	extinct	74.9	83.5
Gryposaurus_latidens	extinct	74.9	83.5
Gryposaurus_monumentensis	extinct	74.5	76.6
Gryposaurus_monumentensis	extinct	74.5	76.6
Gryposaurus_monumentensis	extinct	74.5	76.6
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Gryposaurus_notabilis	extinct	75.8	76.9
Hadrosaurus_foulkii	extinct	78.5	80.5
Hadrosaurus_foulkii	extinct	78.5	80.5
Hadrosaurus_foulkii	extinct	78.5	80.5
Hadrosaurus_foulkii	extinct	78.5	80.5
Hadrosaurus_foulkii	extinct	78.5	80.5
Hadrosaurus_foulkii	extinct	78.5	80.5
Hadrosaurus_foulkii	extinct	78.5	80.5
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_altispinus	extinct	67	74
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Hypacrosaurus_stebingeri	extinct	74.9	83.5
Kritosaurus_navajovius	extinct	71.4	72.5
Kritosaurus_navajovius	extinct	71.4	72.5
Kritosaurus_navajovius	extinct	72	75
Kritosaurus_navajovius	extinct	73.04	75.02
Kritosaurus_navajovius	extinct	73.04	75.02
Kritosaurus_navajovius	extinct	73.04	75.02
Kritosaurus_navajovius	extinct	73.04	75.02
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_lambei	extinct	75.5	77.5
Lambeosaurus_magnicristatus	extinct	74.8	75.4
Lambeosaurus_magnicristatus	extinct	74.8	75.4
Lapampasaurus_cholinoi	extinct	69	79
Latirhinus_uitstlani	extinct	71.4	72.5
Magnapaulia_laticaudus	extinct	73	74
Magnapaulia_laticaudus	extinct	73	74
Magnapaulia_laticaudus	extinct	73	74
Magnapaulia_laticaudus	extinct	73	74
Magnapaulia_laticaudus	extinct	73	74
Magnapaulia_laticaudus	extinct	73	74
Maiasaura_peeblesorum	extinct	74.9	83.6
Maiasaura_peeblesorum	extinct	74.9	83.6
Maiasaura_peeblesorum	extinct	74.9	83.6
Maiasaura_peeblesorum	extinct	74.9	83.6
Maiasaura_peeblesorum	extinct	74.9	83.6
Maiasaura_peeblesorum	extinct	74.9	83.6
Maiasaura_peeblesorum	extinct	74.9	83.6
Maiasaura_peeblesorum	extinct	74.9	83.6
Maiasaura_peeblesorum	extinct	74.9	83.6
Naashoibitosaurus_ostromi	extinct	73.04	75.02
Parasaurolophus_cyrtocristatus	extinct	73.5	75.5
Parasaurolophus_cyrtocristatus	extinct	74.5	76.5
Parasaurolophus_cyrtocristatus	extinct	74.5	76.5
Parasaurolophus_cyrtocristatus	extinct	74.5	76.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_tubicen	extinct	73	74.5
Parasaurolophus_walkeri	extinct	75.8	76.9
Parasaurolophus_walkeri	extinct	75.8	76.9
Parasaurolophus_walkeri	extinct	75.8	76.9
Parasaurolophus_walkeri	extinct	75.8	76.9
Probrachylophosaurus _bergei	extinct	74.9	79
Probrachylophosaurus _bergei	extinct	74.9	79
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	75.8	76.9
Prosaurolophus_maximus	extinct	74.9	83.5
Prosaurolophus_maximus	extinct	74.9	83.5
Prosaurolophus_maximus	extinct	74.9	83.5
Saurolophus_osborni	extinct	68	74
Saurolophus_osborni	extinct	68	74
Saurolophus_osborni	extinct	68	74
Saurolophus_osborni	extinct	68	74
Secernosaurus_koerneri	extinct	70	83.6
Secernosaurus_koerneri	extinct	70	83.6
Secernosaurus_koerneri	extinct	70	83.6
Secernosaurus_koerneri	extinct	70	83.6
Secernosaurus_koerneri	extinct	70	83.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Ugrunaaluk_kuukpikensis	extinct	69.1	70.6
Velafrons_coahuilensis	extinct	71.4	72.5
