it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertosaurus_TS	Alioramus_TS	Daspletosaurus_TS	Gorgosaurus_TS	Lythronax_TS	Nanotyrannus_TS	Nanuqsaurus_TS	Ornithomimus_TS	Tarbosaurus_TS	Teratophoneus_TS	Tyrannosauripus_TS	Tyrannosaurus_TS	Yezosaurus_TS	Zhuchengtyrannus_TS	Albertosaurus_TE	Alioramus_TE	Daspletosaurus_TE	Gorgosaurus_TE	Lythronax_TE	Nanotyrannus_TE	Nanuqsaurus_TE	Ornithomimus_TE	Tarbosaurus_TE	Teratophoneus_TE	Tyrannosauripus_TE	Tyrannosaurus_TE	Yezosaurus_TE	Zhuchengtyrannus_TE
3040000	-636.3702088379441	-29.880184282334476	-551.9208761069501	-54.569148448659575	3.7861685002935643	0.9689087499212391	2.9803240141657033	1.0214129897456856	2	2	0.8539886021035891	85.24535990061621	66.0469700761118	106.39139704056244	84.71587105496796	70.57036976326324	84.03768805279546	82.71064794191635	83.34261215464394	75.8103221756527	69.4359306074918	82.71184031528362	82.93457200036126	76.08427342573776	67.30911118373983	82.92541706447449	85.24535990061621	70.9400864507042	66.9504537596886	66.8748537568403	66.0469700761118	66.55379203980466	80.0927973401731	66.27722672320296	68.65363579713438	82.04318827084961	66.20105472120977	73.60318647311075	66.97008920571697	66.06603491390322	85.2305574516733	70.81886452166694
3045000	-647.4959086873268	-25.27463835085026	-558.4393427736987	-63.78192756277781	1.975402884081195	1.1999852029123037	3.6446540827733127	0.5961255978939711	2	2	1.985062202279856	86.13257347498175	64.9791577926374	105.83194187294193	84.66701855441111	75.14305403009668	83.96823701436263	82.67488312227692	81.43155808091892	70.22075858842081	69.1928162241804	83.32719919914162	82.33925299374903	76.43722534031008	67.429990647307	82.3528016988135	86.13257347498175	70.93944108636816	67.09187047811466	66.89589411267607	64.9791577926374	66.21573621179364	79.84865659749326	65.63501052492373	68.97868014610192	81.98126470731033	66.1314048829918	74.16657886309311	67.03249168348906	65.91522844528805	84.85046126748972	70.70243246899393
3050000	-641.4959825979672	-25.17898186515046	-550.9497087576217	-65.36729197519503	1.6696742143614114	1.0490915943345567	3.9198994319974525	0.832450172954165	2	2	1.7074804804302777	85.39938077794109	65.82925694765468	101.64221983062396	84.67254985371467	71.36055183388982	83.83025074756341	82.4232216261387	81.02338499273804	70.55841132690797	69.04159286444228	82.4190286899442	82.24968244135428	76.30311767830432	67.1437142219369	82.03179995048984	85.39938077794109	71.21260834710799	66.9726303946607	66.66338409204631	66.11750268767152	65.82925694765468	80.32529571277288	66.16115590303694	69.01519276322891	80.70550262471974	65.91270367207862	71.8030697906195	66.77767255882095	66.05943434257877	84.85830558208133	70.82596844987869
3055000	-651.1657613109311	-22.820086832989563	-565.9457051136327	-62.399969364308845	1.0962200345543873	0.7749387842892919	2.2507756239060055	0.36528028424262454	2	2	1.9776212713899013	85.6629887032733	65.72156776016637	104.88329147090965	84.69018346282235	70.55007492911399	83.90966829589152	82.9958929611669	82.65917708933185	69.49883288777205	69.77088999890243	82.16390479874175	82.1770743059986	79.15953759159966	67.59120269377817	82.34699882653148	85.6629887032733	71.25368586510737	66.92235160715241	67.67274682213437	66.24979935074256	65.72156776016637	79.75561360591591	66.42818160526106	68.91882355897383	80.8408450730954	65.97677303482477	72.85784703012662	66.79287625249519	66.04837743505446	84.99617153447007	70.36484626870876
3060000	-654.1868986897567	-24.201205193439336	-565.4994036386304	-64.48628985768698	2.4939397462797843	0.802855685680633	2.549799007815427	0.45336815605426006	2	2	3.628047909199781	85.44220960174947	63.166782459719265	105.33564421302513	84.77932304665107	72.74396674267342	84.42547329699218	82.37310706536432	81.04921438136647	70.55728288357476	69.53987502221591	82.43081042878393	82.19810507283003	76.68939372441233	67.16854393224477	82.34700132360412	85.44220960174947	71.28401164546025	66.74806633561296	66.98945237631155	66.61958248193177	66.57330224988917	80.33413496800907	63.166782459719265	68.89707158204686	81.71634616862129	65.67581218906673	73.93505058300492	66.99185865167861	65.77944146513282	85.11456216787128	69.1512102760016
3065000	-633.197469868116	-28.03625153486811	-543.4755234233172	-61.68569490993059	2.862865043543346	1.2478925918133617	3.236271378172803	1.2162585673878843	2	2	4.853552220097793	85.24992520237763	66.04846223476473	96.79606857546361	84.76072042236352	71.0042773514483	83.86315064981646	82.37194160195504	80.43332694507063	69.53227861496795	69.57806995238109	82.42153776735077	82.20354884071025	77.20988728928243	67.26168514795924	82.25376075962967	85.24992520237763	70.86790985901696	67.04394541137657	66.51762206834556	66.51425295402997	66.16722850362108	80.25137348395775	66.15317161624522	68.8893642595785	82.01669879087383	66.2198363471318	73.46330989514414	67.07961989771282	66.04846223476473	85.08650781204689	70.76455855403749
3070000	-630.008605916063	-27.263513932421873	-540.4693806523861	-62.27571133125491	3.165515565398517	0.8850021337768252	3.5717783812878707	1.3416320429750792	2	2	3.574385551616097	85.24585640943731	66.01830465286466	96.4176342811959	84.63047611211144	70.49772745869791	83.8484442039821	83.66963036974079	80.42212345343913	69.35536961902797	69.06019440543385	82.25158316054176	83.08758393901252	76.38640544172806	67.20483604667542	82.21946852247281	85.24585640943731	71.05684503449892	66.66822702174761	66.42547390991194	66.52686241851004	66.27821856725546	80.39642945144932	66.26169595339832	68.96644517387465	81.96215573921776	66.05286748752131	74.03382527496726	66.88897759323581	66.01830465286466	85.22612488719987	70.81330176445006
3075000	-638.0413447735149	-26.52818310801865	-554.0033049382956	-57.5098567272006	3.4002007617371848	0.8882774986101439	2.4999453965485134	0.881997138415619	2	2	3.3682979835440627	85.33999487871709	65.87175820844388	101.93890822607337	85.00467867384029	72.93685674465591	83.97425212821776	82.84536922518208	81.79366150680656	69.79457241325314	69.07167589544274	82.37033224084962	82.92870046754068	75.99484088858226	67.43535777108578	82.33713045956064	85.33999487871709	70.86107837735409	66.82032243297049	66.0618077534742	65.9529316564363	66.05468616038044	80.07883331874407	65.87175820844388	68.90686606955398	81.99306866124434	66.02751607481673	74.09562831994339	67.03626384918454	66.04666140733104	85.2132987401593	70.58995079233256
3080000	-653.5739978747648	-31.502261718340268	-556.2415128985557	-65.83022325786885	2.03737230877031	0.9817351959161114	2.665151939623237	0.7970013905686218	2	4	3.5326590744192723	85.24939854655734	65.42250132812367	102.4568496283222	84.88430537497709	70.44123781604561	84.60834568926481	82.40271503310437	80.48559007419789	70.3852520869774	69.27905159137798	82.3455033375626	82.17509589124342	78.8006846943892	67.27780565777726	82.8569741667134	85.24939854655734	70.837864514343	66.26217332854995	68.1872752584169	66.29291052371332	66.31674662132967	80.29168996942028	65.42250132812367	68.72735446895433	81.33142942944173	65.63991535964885	72.38907179811437	66.87305909032659	66.00886268888502	85.11198911263013	70.71799586865437
3085000	-660.8726662237655	-36.15552924281188	-560.1813493220787	-64.53578765887482	2.1913680828197055	0.9886221614503915	3.144682463630158	1.5318980312304498	3	4	4.055465596641213	85.40283449351298	65.24608018838344	105.59777998616185	84.6729545153087	70.84695701350438	83.8459096675165	83.72254963436343	80.48200784248486	69.78514211029032	69.35903619306582	82.0907074623028	83.38523569814743	76.7968979288585	67.17910146708107	82.06334731234416	85.40283449351298	73.29503750558412	66.94265112415084	65.24608018838344	65.87971516893639	66.10391852470669	80.33596359845082	65.61302824162985	68.9312081881907	82.08066045824631	65.83163769959103	72.76742919397628	66.65891192294123	65.82991599936628	84.65791286208248	70.45090568755089
